express,https://github.com/expressjs/express
axios,https://github.com/axios/axios
fs-extra,https://github.com/jprichardson/node-fs-extra
jsdom,https://github.com/jsdom/jsdom
yeoman-generator,https://github.com/yeoman/generator
execa,https://github.com/sindresorhus/execa
qs,https://github.com/ljharb/qs
mongodb,https://github.com/mongodb/node-mongodb-native
globby,https://github.com/sindresorhus/globby
cors,https://github.com/expressjs/cors
resolve,https://github.com/browserify/resolve
morgan,https://github.com/expressjs/morgan
cookie-parser,https://github.com/expressjs/cookie-parser
xml2js,https://github.com/Leonidas-from-XIV/node-xml2js
redis,https://github.com/redis/node-redis
socket.io-client,https://github.com/socketio/socket.io-client
mysql,https://github.com/mysqljs/mysql
got,https://github.com/sindresorhus/got
compression,https://github.com/expressjs/compression
meow,https://github.com/sindresorhus/meow
buffer,https://github.com/feross/buffer
connect,https://github.com/senchalabs/connect
express-session,https://github.com/expressjs/session
serve-static,https://github.com/expressjs/serve-static
cookie-session,https://github.com/expressjs/cookie-session
sequelize,https://github.com/sequelize/sequelize
readable-stream,https://github.com/nodejs/readable-stream
express-validator,https://github.com/express-validator/express-validator
passport,https://github.com/jaredhanson/passport
chromedriver,https://github.com/giggio/node-chromedriver
util,https://github.com/browserify/node-util
discord.js,https://github.com/discordjs/discord.js
ioredis,https://github.com/luin/ioredis
deep-equal,https://github.com/inspect-js/node-deep-equal
xlsx,https://github.com/SheetJS/sheetjs
serve-favicon,https://github.com/expressjs/serve-favicon
sharp,https://github.com/lovell/sharp
hapi,https://github.com/hapijs/hapi
node-emoji,https://github.com/omnidan/node-emoji
pino,https://github.com/pinojs/pino
amqplib,https://github.com/amqp-node/amqplib
fastify,https://github.com/fastify/fastify
download,https://github.com/kevva/download
